AAM,exp_activation_energy
[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]2=[N:17][O:18][N:19]=[C:20]12)[Cl:21])[O-:11].[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[OH:6]>>[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]2=[N:17][O:18][N:19]=[C:20]12)[NH:1][C:2]3=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]3)[OH:6])[O-:11].[ClH:21],19.73
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[Cl:16])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[ClH:16],27.23
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[Cl:25])[O-:3].[NH2:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]1)[Cl:22]>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[NH:17][C:18]2=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]2)[Cl:22])[O-:3].[ClH:25],21.67
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[Cl:25])[O-:3].[NH2:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]1)[Cl:22]>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[NH:17][C:18]2=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]2)[Cl:22])[O-:3].[ClH:25],21.89
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:18]=[CH:19]1)[O:8][C:9]2=[CH:10][CH:11]=[C:12]([CH:16]=[CH:17]2)[N+:13]([O-:15])=[O:14])[O-:3].[CH2:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1>>[O:14]=[N+:13]([C:12]1=[CH:11][CH:10]=[C:9]([CH:17]=[CH:16]1)[N:23]2[CH2:22][CH2:21][CH2:20][CH2:25][CH2:24]2)[O-:15].[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:18]=[CH:19]1)[OH:8])[O-:3],26.35
[O:13]=[N+:12]([C:11]1=[CH:10][CH:9]=[C:8]([C:16]([N+:17]([O-:19])=[O:18])=[CH:15]1)[Cl:20])[O-:14].[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][NH:7]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][N:7]1[C:8]2=[CH:9][CH:10]=[C:11]([CH:15]=[C:16]2[N+:17]([O-:19])=[O:18])[N+:12]([O-:14])=[O:13].[ClH:20],23.77
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:1])[O-:4].[CH3:14][CH2:15][NH:16][CH2:17][CH3:18]>>[CH3:14][CH2:15][N:16]([C:8]1=[CH:7][CH:6]=[C:5]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:3]([O-:4])=[O:2])[CH2:17][CH3:18].[ClH:1],22.49
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][N:8]=[C:9]1[Cl:10])[O-:3].[CH3:11][CH2:12][CH2:13][CH2:14][NH2:15]>>[CH3:11][CH2:12][CH2:13][CH2:14][NH:15][C:9]1=[N:8][CH:7]=[CH:6][CH:5]=[C:4]1[N+:2]([O-:3])=[O:1].[ClH:10],21.8
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([S:10]1)[N+:7]([O-:9])=[O:8].[CH2:14]1[CH2:13][CH2:12][NH:11][CH2:16][CH2:15]1>>[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([S:10]1)[N:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[O-:9].[CH3:1][OH:2],22.02
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:14]=[CH:15]1)[O:16][C:17]2=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]2)[O-:3].[CH2:11]1[CH2:10][CH2:9][NH:8][CH2:13][CH2:12]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:14]=[CH:15]1)[N:8]2[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]2)[O-:3].[OH:16][C:17]1=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]1,18.01
[O:9]=[N+:8]([C:7]1=[CH:6][CH:5]=[C:4]([C:12]([N+:13]([O-:15])=[O:14])=[CH:11]1)[Cl:1])[O-:10].[CH3:2][O-:3]>>[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[C:12]1[N+:13]([O-:15])=[O:14])[N+:8]([O-:10])=[O:9].[Cl-:1],20.77
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][CH:12]=[C:13]1[F:14])[O-:3].[CH3:15][CH2:16][CH2:17][CH2:18][NH2:19]>>[CH3:15][CH2:16][CH2:17][CH2:18][NH:19][C:13]1=[CH:12][CH:11]=[C:6]([CH:5]=[C:4]1[N+:2]([O-:3])=[O:1])[C:7]([F:9])([F:10])[F:8].[FH:14],18.68
[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:11]([N+:12]([O-:14])=[O:13])=[CH:10]1)[I:15])[O-:9].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[C:11]1[N+:12]([O-:14])=[O:13])[N+:7]([O-:9])=[O:8].[I-:15],20.3
[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:11]([N+:12]([O-:14])=[O:13])=[CH:10]1)[I:15])[O-:9].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[C:11]1[N+:12]([O-:14])=[O:13])[N+:7]([O-:9])=[O:8].[I-:15],21.71
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([N:14]=[CH:15]1)[Cl:16])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([N:14]=[CH:15]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[ClH:16],18.16
[CH3:4][C:5]([C:7]1=[CH:8][CH:9]=[C:10]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[Cl:3])=[O:6].[CH3:1][O-:2]>>[CH3:1][O:2][C:10]1=[CH:9][CH:8]=[C:7]([CH:15]=[C:11]1[N+:12]([O-:14])=[O:13])[C:5]([CH3:4])=[O:6].[Cl-:3],22.2
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:27][C:26]2=[CH:28][CH:29]=[C:23]([CH:24]=[CH:25]2)[N+:21]([O-:22])=[O:20])=[N:19]1.[O:16]=[CH:15][C:14]1=[CH:17][CH:18]=[C:11]([CH:12]=[CH:13]1)[O-:10]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:17]=[CH:18]2)[CH:15]=[O:16])=[N:19]1.[O:20]=[N+:21]([C:23]1=[CH:24][CH:25]=[C:26]([CH:28]=[CH:29]1)[O-:27])[O-:22],22.89
[O:10]=[N+:9]([C:8]1=[CH:7][N:6]=[CH:5][CH:4]=[C:3]1[Cl:12])[O-:11].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[N:6][CH:7]=[C:8]1[N+:9]([O-:11])=[O:10].[Cl-:12],21.09
[O:10]=[N+:11]([C:13]1=[CH:14][N:15]=[C:16]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[Cl:1])[O-:12].[NH2:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([Br:8])=[CH:9]1>>[O:10]=[N+:11]([C:13]1=[CH:14][N:15]=[C:16]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[NH:2][C:3]2=[CH:4][CH:5]=[CH:6][C:7]([Br:8])=[CH:9]2)[O-:12].[ClH:1],20.9
[CH3:8][S:7](=[O:9])([C:6]1=[CH:5][CH:4]=[C:3]([C:12]([N+:13]([O-:15])=[O:14])=[CH:11]1)[Cl:16])=[O:10].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:11]=[C:12]1[N+:13]([O-:15])=[O:14])[S:7]([CH3:8])(=[O:9])=[O:10].[Cl-:16],20.93
[O:7]=[N+:8]([C:10]1=[CH:11][C:12]([OH:13])=[CH:14][CH:15]=[C:16]1[Br:17])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][C:12]([OH:13])=[CH:14][CH:15]=[C:16]1[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[BrH:17],25.29
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:1])[O-:4].[F:14][C:15]([F:17])([CH:18]1[CH2:19][CH2:20][NH:21][CH2:22][CH2:23]1)[F:16]>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:21]2[CH2:20][CH2:19][CH:18]([CH2:23][CH2:22]2)[C:15]([F:16])([F:17])[F:14])[O-:4].[ClH:1],20.9
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][N:8]=[C:9]1[Cl:10])[O-:3].[O-:11][C:12]1=[CH:13][CH:14]=[CH:15][CH:16]=[CH:17]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][N:8]=[C:9]1[O:11][C:12]2=[CH:13][CH:14]=[CH:15][CH:16]=[CH:17]2)[O-:3].[Cl-:10],23.94
[O:8]=[CH:7][C:6]1=[CH:5][CH:4]=[C:3]([C:10]([N+:11]([O-:13])=[O:12])=[CH:9]1)[Cl:14].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:9]=[C:10]1[N+:11]([O-:13])=[O:12])[CH:7]=[O:8].[Cl-:14],21.18
[O:9]=[N+:8]([C:7]1=[CH:6][CH:5]=[C:4]([CH:12]=[CH:11]1)[I:1])[O-:10].[CH3:2][S-:3]>>[CH3:2][S:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N+:8]([O-:10])=[O:9].[I-:1],25.22
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[CH:8][N:9]=[C:10]1[Cl:1])[O-:4].[O-:11][C:12]1=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]1)[Cl:16]>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[CH:8][N:9]=[C:10]1[O:11][C:12]2=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]2)[Cl:16])[O-:4].[Cl-:1],24.58
[O:23]=[N+:22]([C:21]1=[CH:20][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:14][C:10]([N+:11]([O-:13])=[O:12])=[C:9]1[Cl:1])[O-:24].[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:25]=[CH:26]1)[NH2:8]>>[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:25]=[CH:26]1)[NH:8][C:9]2=[C:10]([CH:14]=[C:15]([CH:20]=[C:21]2[N+:22]([O-:24])=[O:23])[C:16]([F:18])([F:19])[F:17])[N+:11]([O-:13])=[O:12].[ClH:1],19.02
[CH3:8][C:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:11]([N+:12]([O-:14])=[O:13])=[CH:10]1)[Cl:15])=[O:9].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[C:11]1[N+:12]([O-:14])=[O:13])[C:7]([CH3:8])=[O:9].[Cl-:15],21.68
[NH2:8][C:9]1=[CH:10][CH:11]=[C:12]([C:13]([N+:14]([O-:16])=[O:15])=[CH:17]1)[Br:1].[CH2:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1>>[NH2:8][C:9]1=[CH:10][CH:11]=[C:12]([C:13]([N+:14]([O-:16])=[O:15])=[CH:17]1)[N:5]2[CH2:4][CH2:3][CH2:2][CH2:7][CH2:6]2.[BrH:1],26.2
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:9]=[CH:10]1)[Cl:8])[O-:3].[CH3:11][C:12]1=[CH:13][CH:14]=[CH:15][C:16]([O-:17])=[CH:18]1>>[CH3:11][C:12]1=[CH:13][CH:14]=[CH:15][C:16]([O:17][C:7]2=[CH:6][CH:5]=[C:4]([CH:10]=[N:9]2)[N+:2]([O-:3])=[O:1])=[CH:18]1.[Cl-:8],22.41
[O:10]=[N+:11]([C:13]1=[CH:14][N:15]=[C:16]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[Cl:9])[O-:12].[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[Br:6]>>[O:10]=[N+:11]([C:13]1=[CH:14][N:15]=[C:16]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[NH:1][C:2]2=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]2)[Br:6])[O-:12].[ClH:9],20.45
[N:1]#[C:2][C:3]1=[CH:4][CH:5]=[C:6]([C:8]([N+:9]([O-:11])=[O:10])=[CH:12]1)[Cl:7].[CH3:13][O-:14]>>[CH3:13][O:14][C:6]1=[CH:5][CH:4]=[C:3]([CH:12]=[C:8]1[N+:9]([O-:11])=[O:10])[C:2]#[N:1].[Cl-:7],20.84
[CH3:1][C:2]([O:4][C:5]1=[CH:6][CH:7]=[C:8]([CH:10]=[CH:11]1)[Cl:9])=[O:3].[CH3:12][O-:13]>>[CH3:12][O:13][C:8]1=[CH:7][CH:6]=[C:5]([CH:11]=[CH:10]1)[O:4][C:2]([CH3:1])=[O:3].[Cl-:9],31.48
[CH3:7][O:8][C:9]1=[C:16]([S:17]([CH3:18])(=[O:19])=[O:20])[CH:15]=[C:11]([N+:12]([O-:14])=[O:13])[S:10]1.[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[CH3:18][S:17](=[O:19])([C:16]1=[C:9]([N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[S:10][C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)=[O:20].[CH3:7][OH:8],16.27
[F:2][C:3]1=[N:4][C:5]([F:6])=[C:7]([C:12]([F:1])=[C:13]1[C:14]([F:16])([F:17])[F:15])[C:8]([F:10])([F:11])[F:9].[NH3:18]>>[NH2:18][C:12]1=[C:13]([C:3]([F:2])=[N:4][C:5]([F:6])=[C:7]1[C:8]([F:10])([F:11])[F:9])[C:14]([F:16])([F:17])[F:15].[FH:1],16.7
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[CH:19]2)[N+:15]([O-:17])=[O:16])=[N:20]1.[O-:21][C:22]1=[CH:23][CH:24]=[CH:25][C:26]([Cl:27])=[C:28]1[Cl:29]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:21][C:22]2=[CH:23][CH:24]=[CH:25][C:26]([Cl:27])=[C:28]2[Cl:29])=[N:20]1.[O:16]=[N+:15]([C:14]1=[CH:18][CH:19]=[C:11]([CH:12]=[CH:13]1)[O-:10])[O-:17],22.7
[CH3:19][O:20][C:12]1=[C:5]([S:2]([CH3:1])(=[O:3])=[O:4])[CH:6]=[C:7]([N+:8]([O-:10])=[O:9])[S:11]1.[CH2:16]1[CH2:15][CH2:14][NH:13][CH2:18][CH2:17]1>>[CH3:1][S:2](=[O:3])([C:5]1=[C:12]([N:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[S:11][C:7]([N+:8]([O-:10])=[O:9])=[CH:6]1)=[O:4].[CH3:19][OH:20],17.22
[F:11][C:2]1=[CH:3][C:4]([Cl:5])=[C:6]([C:8]([F:9])=[N:10]1)[F:7].[NH3:1]>>[NH2:1][C:2]1=[CH:3][C:4]([Cl:5])=[C:6]([C:8]([F:9])=[N:10]1)[F:7].[FH:11],24.55
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][N:8]=[C:9]1[Cl:10])[O-:3].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][N:8]=[C:9]1[N:14]2[CH2:13][CH2:12][CH2:11][CH2:15]2)[O-:3].[ClH:10],18.46
[O:13]=[N+:12]([C:11]1=[CH:10][CH:9]=[CH:8][N:7]=[C:6]1[Cl:15])[O-:14].[CH3:1][CH2:2][CH2:3][CH2:4][NH2:5]>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:6]1=[N:7][CH:8]=[CH:9][CH:10]=[C:11]1[N+:12]([O-:14])=[O:13].[ClH:15],20.46
[F:16][C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([Cl:13])=[C:14]1[Cl:15])[Cl:11].[CH3:1][CH2:2][NH:3][CH2:4][CH3:5]>>[CH3:1][CH2:2][N:3]([C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([Cl:13])=[C:14]1[Cl:15])[Cl:11])[CH2:4][CH3:5].[FH:16],21.7
[CH3:1][N:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Br:8])[CH3:3].[CH2:17]1[CH2:16][CH2:15][NH:14][CH2:19][CH2:18]1>>[CH3:1][N:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[CH3:3].[BrH:8],24.85
[O:10]=[N+:9]([C:8]1=[CH:7][CH:6]=[C:5]([C:13]([N+:14]([O-:16])=[O:15])=[CH:12]1)[Cl:1])[O-:11].[CH3:2][CH2:3][NH2:4]>>[CH3:2][CH2:3][NH:4][C:5]1=[CH:6][CH:7]=[C:8]([CH:12]=[C:13]1[N+:14]([O-:16])=[O:15])[N+:9]([O-:11])=[O:10].[ClH:1],21.56
[CH3:12][O:13][C:14]1=[N:15][C:16]([O:17][CH3:18])=[N:19][C:20]([O:8][C:7]2=[CH:6][CH:5]=[C:4]([C:10]([Cl:11])=[CH:9]2)[N+:2]([O-:3])=[O:1])=[N:21]1.[O-:22][C:23]1=[CH:24][CH:25]=[CH:26][C:27]([Cl:28])=[CH:29]1>>[CH3:12][O:13][C:14]1=[N:15][C:16]([O:17][CH3:18])=[N:19][C:20]([O:22][C:23]2=[CH:24][CH:25]=[CH:26][C:27]([Cl:28])=[CH:29]2)=[N:21]1.[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[C:10]1[Cl:11])[O-:8])[O-:3],20.18
[CH3:12][O:13][C:14]1=[N:15][C:16]([O:17][CH3:18])=[N:19][C:20]([O:8][C:7]2=[CH:6][CH:5]=[C:4]([C:10]([Cl:11])=[CH:9]2)[N+:2]([O-:3])=[O:1])=[N:21]1.[N:22]#[C:23][C:24]1=[CH:25][CH:26]=[C:27]([CH:29]=[CH:30]1)[O-:28]>>[CH3:12][O:13][C:14]1=[N:15][C:16]([O:17][CH3:18])=[N:19][C:20]([O:28][C:27]2=[CH:29][CH:30]=[C:24]([CH:25]=[CH:26]2)[C:23]#[N:22])=[N:21]1.[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[C:10]1[Cl:11])[O-:8])[O-:3],21.71
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:25][C:24]2=[CH:26][CH:27]=[C:21]([CH:22]=[CH:23]2)[N+:19]([O-:20])=[O:18])=[N:17]1.[O-:10][C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]1>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[N:17]1.[O:18]=[N+:19]([C:21]1=[CH:22][CH:23]=[C:24]([CH:26]=[CH:27]1)[O-:25])[O-:20],19.87
[O:11]=[N+:10]([C:9]1=[CH:8][CH:7]=[C:6]([C:14]([N+:15]([O-:17])=[O:16])=[CH:13]1)[Cl:18])[O-:12].[CH3:1][CH:2]([CH2:4][NH2:5])[CH3:3]>>[CH3:1][CH:2]([CH2:4][NH:5][C:6]1=[CH:7][CH:8]=[C:9]([CH:13]=[C:14]1[N+:15]([O-:17])=[O:16])[N+:10]([O-:12])=[O:11])[CH3:3].[ClH:18],23.35
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([N+:13]([O-:15])=[O:14])=[CH:16]1)[Cl:11])[O-:3].[CH3:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:24]=[CH:25]1)[CH2:22][NH2:23]>>[CH3:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:24]=[CH:25]1)[CH2:22][NH:23][C:10]2=[C:6]([CH:5]=[C:4]([CH:16]=[C:12]2[N+:13]([O-:15])=[O:14])[N+:2]([O-:3])=[O:1])[N+:7]([O-:9])=[O:8].[ClH:11],16.89
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:14]=[CH:15]1)[Cl:16])[O-:3].[CH2:11]1[CH2:10][CH2:9][NH:8][CH2:13][CH2:12]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:14]=[CH:15]1)[N:8]2[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]2)[O-:3].[ClH:16],19.44
[CH3:15][O:16][C:7]1=[CH:6][CH:5]=[C:4]([S:14]1)[N+:2]([O-:3])=[O:1].[CH2:11]1[CH2:10][CH2:9][NH:8][CH2:13][CH2:12]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([S:14]1)[N:8]2[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]2)[O-:3].[CH3:15][OH:16],19.27
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH3:14][NH2:15]>>[CH3:14][NH:15][C:7]1=[CH:6][CH:5]=[C:4]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:2]([O-:3])=[O:1].[ClH:8],20.83
[O:17]=[N+:16]([C:15]1=[CH:14][C:10]([N+:11]([O-:13])=[O:12])=[C:9]([C:20]([N+:21]([O-:23])=[O:22])=[CH:19]1)[Cl:1])[O-:18].[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:24]=[CH:25]1)[CH2:7][NH2:8]>>[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:24]=[CH:25]1)[CH2:7][NH:8][C:9]2=[C:10]([CH:14]=[C:15]([CH:19]=[C:20]2[N+:21]([O-:23])=[O:22])[N+:16]([O-:18])=[O:17])[N+:11]([O-:13])=[O:12].[ClH:1],15.39
[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([C:7]([N+:8]([O-:10])=[O:9])=[CH:11]1)[Br:1].[CH2:12]1[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]1>>[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([C:7]([N+:8]([O-:10])=[O:9])=[CH:11]1)[N:15]2[CH2:14][CH2:13][CH2:12][CH2:17][CH2:16]2.[BrH:1],22.02
[F:1][C:2]1=[CH:3][C:4]([F:5])=[C:6]2[C:7]([F:8])=[C:9]([C:11]([F:12])=[C:13]([C:15]2=[C:16]1[F:17])[F:14])[F:10].[CH3:18][O-:19]>>[CH3:18][O:19][C:3]1=[C:2]([C:16]([F:17])=[C:15]2[C:13]([F:14])=[CH:11][C:9]([F:10])=[C:7]([C:6]2=[C:4]1[F:5])[F:8])[F:1].[F-:12],21.32
[O:9]=[N:8][C:7]1=[CH:6][CH:5]=[C:4]([C:11]([N+:12]([O-:14])=[O:13])=[CH:10]1)[Cl:1].[CH3:2][O-:3]>>[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:10]=[C:11]1[N+:12]([O-:14])=[O:13])[N:8]=[O:9].[Cl-:1],18.17
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:26][C:25]2=[CH:27][CH:28]=[C:22]([CH:23]=[CH:24]2)[N+:20]([O-:21])=[O:19])=[N:18]1.[CH3:15][C:14]1=[CH:16][CH:17]=[C:11]([CH:12]=[CH:13]1)[O-:10]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:16]=[CH:17]2)[CH3:15])=[N:18]1.[O:19]=[N+:20]([C:22]1=[CH:23][CH:24]=[C:25]([CH:27]=[CH:28]1)[O-:26])[O-:21],19.48
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([C:10]2=[N:11][O:12][N:13]=[C:14]12)[N+:7]([O-:9])=[O:8].[CH2:15]1[CH2:16][CH2:17][NH:18][CH2:19][CH2:20]1>>[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:14]2=[N:13][O:12][N:11]=[C:10]12)[N:18]3[CH2:17][CH2:16][CH2:15][CH2:20][CH2:19]3)[O-:9].[CH3:1][OH:2],16.64
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([N+:9]([O-:11])=[O:10])=[C:12]1[Cl:13])[O-:3].[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([N+:9]([O-:11])=[O:10])=[C:12]1[N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[O-:3].[ClH:13],19.66
[O:13]=[N+:12]([C:11]1=[CH:10][N:9]=[C:8]([C:16]([N+:17]([O-:19])=[O:18])=[CH:15]1)[Cl:21])[O-:14].[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([NH2:7])=[CH:20]1>>[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([NH:7][C:8]2=[N:9][CH:10]=[C:11]([CH:15]=[C:16]2[N+:17]([O-:19])=[O:18])[N+:12]([O-:14])=[O:13])=[CH:20]1.[ClH:21],19.21
