idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
9638,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[N:3]2[C@@:4]1([H:13])[C@:5]2([C:6]([O:7][H:12])([H:15])[H:16])[H:14])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-3-5-4(2-7)6(3)5/h3-5,7H,2H2,1H3/t3-,4-,5-,6?/m1/s1",60.246869999999994,3.64815,
9639,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C:5](=[O+:7][C-:6]([H:15])[H:16])[H:14])[H:13])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-4-5(6-4)3-7-2/h3-6H,2H2,1H3/t4-,5+/m1/s1",55.644909999999996,47.63256,
9640,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([O:7][C:6]([C:5][H:14])([H:15])[H:16])[H:13])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-3-7-5-4(2)6-5/h1,4-6H,3H2,2H3/t4-,5+/m1/s1",104.30184,76.564,
9641,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[N+:3]([H:12])([H:13])[C-:4]1[C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-4H,2,6H2,1H3/t3-,4-/m1/s1",60.84741999999999,44.63921,
9642,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C:5]([O+:7]=[C-:6][H:16])([H:14])[H:15])[H:13])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-4-5(6-4)3-7-2/h2,4-6H,3H2,1H3/t4-,5+/m1/s1",76.72744,48.71091,
9643,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C:5][C:6]([O:7][H:14])([H:15])[H:16])[H:13])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-4-5(6-4)2-3-7/h4-7H,3H2,1H3/t4-,5+/m1/s1",68.83738000000001,53.159180000000006,
9644,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]([N:3]([H:12])[H:14])(/[C:4](=[C:5]1\[C:6]([H:15])([H:16])[O:7]1)[H:13])[H:11])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-4(6)2-5-3-7-5/h2,4H,3,6H2,1H3/b5-2+/t4-/m1/s1",69.00753,-2.67667,
9645,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C:2]([N:3](/[C:4](=[C:5]1/[C:6]([H:15])([H:16])[O:7]1)[H:13])[H:12])([H:11])[H:14])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-2-6-3-5-4-7-5/h3,6H,2,4H2,1H3/b5-3-",105.24153000000001,4.275119999999999,
9646,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([H:8])([H:9])([H:10])[H:11].[C:2]1[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C4H5NO.CH4/c1-3(5-1)4-2-6-4;/h3-5H,2H2;1H4/t3-,4-;/m1./s1",91.98779,56.55805,
9647,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([C:2][N:3]([C:4]([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)([H:11])[H:13])[H:12])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-2-6-3-5-4-7-5/h5-6H,3-4H2,1H3/t5-/m0/s1",75.52314,21.65352,
9648,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1]([N+:3]1([H:12])[C-:2]([H:11])[C@@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C5H9NO/c1-6-2-4(6)5-3-7-5/h2,4-6H,3H2,1H3/t4-,5-/m1/s1",109.63229,56.97164,
9649,[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])([H:8])([H:9])[H:10],[C:1](=[C:2]([H:8])[H:11])([H:9])[H:10].[N:3](=[C:4](\[C@@:5]1([H:14])[C:6]([H:15])([H:16])[O:7]1)[H:13])\[H:12],"InChI=1S/C5H9NO/c1-3-5(6-3)4-2-7-4/h3-6H,2H2,1H3/t3-,4-,5-/m1/s1","InChI=1S/C3H5NO.C2H4/c4-1-3-2-5-3;1-2/h1,3-4H,2H2;1-2H2/b4-1-;/t3-;/m0./s1",79.58232,9.41038,
9650,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C:4](=[C:5]([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10].[H:13][H:14],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H8O.H2/c1-6-3-2-5(4-6)7-6;/h2H,3-4H2,1H3;1H/t6-;/m0./s1",119.51983999999999,98.28175,
9651,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C:2](=[C:3]([H:11])[H:12])[C:6]([C:5]([C:4](=[O:7])[H:13])([H:14])[H:15])([H:16])[H:17])([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-6(2)4-3-5-7/h5H,1,3-4H2,2H3",48.30862,-8.44922,
9652,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:6]([H:16])([H:17])[C:5]([H:14])([H:15])[C-:4]=[O+:7]1)([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-6(2)4-3-5-7-6/h3-4H2,1-2H3",71.22641,23.49772,
9653,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C:2]([C:6]([C:5]([C:4](=[C:3]([H:11])[H:12])[H:13])([H:14])[H:15])([H:16])[H:17])=[O:7])([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-3-4-5-6(2)7/h3H,1,4-5H2,2H3",52.05666,-12.89596,
9654,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C:2][C:3]([C@@:4]1([H:13])[C:5]([H:14])([H:15])[C:6]([H:16])([H:17])[O:7]1)([H:11])[H:12])([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-2-3-6-4-5-7-6/h6H,3-5H2,1H3/t6-/m0/s1",115.74633,80.67112,
9655,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C@@:2]1([O:7][H:13])[C:3]([H:11])([H:12])[C:4][C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-6(7)4-2-3-5-6/h7H,2,4-5H2,1H3/t6-/m0/s1",70.48612,50.360490000000006,
9656,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C@:2]1([C:6]([C:5][H:14])([H:16])[H:17])[C:3]([H:11])([H:12])[C:4]([H:13])([H:15])[O:7]1)([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-3-6(2)4-5-7-6/h1H,3-5H2,2H3/t6-/m0/s1",88.89711,86.71868,
9657,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([H:8])([H:9])([H:10])[H:12].[C:2]12=[C:3]([H:11])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2,"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C5H6O.CH4/c1-2-5-3-4(1)6-5;/h3-4H,1-2H2;1H4/t4-;/m1./s1",136.92609,92.28487,
9658,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C@:2]1([C:6]([C:5]([C:4][H:13])([H:14])[H:15])([H:16])[H:17])[C:3]([H:11])([H:12])[O:7]1)([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-3-4-6(2)5-7-6/h1H,3-5H2,2H3/t6-/m0/s1",105.36076000000001,81.6459,
9659,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1)[O:7]2)([H:8])([H:9])[H:10].[H:16][H:17],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H8O.H2/c1-6-3-2-5(4-6)7-6;/h5H,2,4H2,1H3;1H/t5-,6+;/m1./s1",103.26572,98.0728,
9660,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C:3]([C@@:4]1([H:13])[C:5]([H:14])([H:15])[C:6]([H:16])([H:17])[C-:2]=[O+:7]1)([H:11])[H:12])([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-2-6-4-3-5-7-6/h6H,2-4H2,1H3/t6-/m0/s1",116.04186999999999,28.41003,
9661,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C:6]([H:16])([H:17])[C:5]([H:14])([H:15])[C@@:4]([C:3][H:12])([H:13])[O:7]1)([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-5-3-4-6(2)7-5/h1,5-6H,3-4H2,2H3/t5-,6-/m0/s1",80.02826999999999,64.54191,
9662,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C@:2]1([C:6]([C:5]([H:13])([H:14])[H:15])([H:16])[H:17])[C:3]([H:11])([H:12])[C-:4]=[O+:7]1)([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-3-6(2)4-5-7-6/h3-4H2,1-2H3/t6-/m0/s1",68.79906,43.74883,
9663,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1](=[C:2]1[C@@:6]2([H:17])[C:3]([H:11])([H:12])[C@:4]([H:13])([C:5]2([H:14])[H:15])[O:7]1)([H:8])[H:9].[H:10][H:16],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H8O.H2/c1-4-5-2-6(3-5)7-4;/h5-6H,1-3H2;1H/t5-,6+;",115.67148,32.496590000000005,
9664,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C:2]1([C:6]([H:11])([H:16])[H:17])[C@:3]2([H:12])[C@@:4]([H:13])([C:5]2([H:14])[H:15])[O:7]1)([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-6(2)4-3-5(4)7-6/h4-5H,3H2,1-2H3/t4-,5+/m0/s1",119.53103999999999,18.69008,
9665,[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]([H:13])([C:5]([H:14])([H:15])[C:6]1([H:16])[H:17])[O:7]2)([H:8])([H:9])[H:10],[C:1]([C:2][C:6]([C:5]([C@:4]1([H:13])[C:3]([H:11])([H:12])[O:7]1)([H:14])[H:15])([H:16])[H:17])([H:8])([H:9])[H:10],"InChI=1S/C6H10O/c1-6-3-2-5(4-6)7-6/h5H,2-4H2,1H3/t5-,6+/m1/s1","InChI=1S/C6H10O/c1-2-3-4-6-5-7-6/h6H,3-5H2,1H3/t6-/m1/s1",104.40632,83.28641,
9666,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6]([H:12])=[C:7]2[H:13])[H:8],[C:2]123[C@:3]4([H:10])[O:4][C@@:5]1([H:11])[C@@:6]2([H:12])[C@:7]34[H:13].[O:1]([H:8])[H:9],"InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h1-6H/t3-,4+,5-","InChI=1S/C5H4O.H2O/c6-3-1-2-4(6)5(1,2)3;/h1-4H;1H2/t1-,2+,3+,4-,5?;",79.32424,61.407959999999996,
9667,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6]([H:12])=[C:7]2[H:13])[H:8],[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6][C:7]2([H:12])[H:13])[H:8],"InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h1-6H/t3-,4+,5-","InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h3-6H,1H2/t3-,4+,5-/m0/s1",66.80935,56.777390000000004,Singlet_Carbene_Intra_Disproportionation
9668,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6]([H:12])=[C:7]2[H:13])[H:8],[O:1]([C@@:2]1([H:9])[C@:5]2([H:11])[O:4][C:3]([H:10])=[C:7]([H:13])[C@:6]12[H:12])[H:8],"InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h1-6H/t3-,4+,5-","InChI=1S/C5H6O2/c6-4-3-1-2-7-5(3)4/h1-6H/t3-,4-,5-/m1/s1",27.645770000000002,-13.21582,
9669,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6]([H:12])=[C:7]2[H:13])[H:8],[O:1]([C@@:2]([C:3]1([H:10])[C:6]([H:12])=[C:7]1[H:13])([C:5](=[O:4])[H:11])[H:9])[H:8],"InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h1-6H/t3-,4+,5-","InChI=1S/C5H6O2/c6-3-5(7)4-1-2-4/h1-5,7H/t5-/m1/s1",46.965090000000004,11.26169,
9670,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6]([H:12])=[C:7]2[H:13])[H:8],[O:1]([C@@:2]1([H:9])[C:3]([H:10])=[C:7]([H:13])[C@@:6]2([H:12])[O:4][C@@:5]12[H:11])[H:8],"InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h1-6H/t3-,4+,5-","InChI=1S/C5H6O2/c6-3-1-2-4-5(3)7-4/h1-6H/t3-,4+,5-/m0/s1",31.673170000000002,-16.65061,
9671,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:13])[N:3]=[C:4]([H:11])[C:5]([O:6][H:12])=[N:7]1)([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2-3H,1H3,(H,6,7)/t3-/m0/s1",46.43659,8.43281,
9672,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([N:7](/[C:5](=[C:4](\[N+:3]#[C-:2])[H:11])[O:6][H:12])[H:13])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-5-3-4(7)6-2/h3,6-7H,2H3/b4-3+",112.3167,39.6635,
9673,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C:2]1=[N+:3]=[C-:4][C@@:5]([O:6][H:12])([H:11])[N:7]1[H:13])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h4,6-7H,1H3/t4-/m0/s1",72.56143,62.38221,Singlet_Carbene_Intra_Disproportionation
9674,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C:2]1=[N:3][C@:4]([O:6][H:12])([H:11])[C-:5]=[N+:7]1[H:13])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h4-5,7H,1H3/t4-/m0/s1",81.75898000000001,47.64192,
9675,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C:2](/[N:3]=[C:4](/[C:5][O:6][H:12])[H:11])=[N:7]\[H:13])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-4(5)6-2-3-7/h2,5,7H,1H3/b5-4+,6-2+",97.46325999999999,73.74363000000001,
9676,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([c+:2]1[n:3]([H:11])[c-:4][c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h5-7H,1H3",79.67142,42.06248,
9677,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1](/[C:2]([N:3]1[C:4]([H:11])=[C:5]1[O:6][H:12])=[N:7]\[H:13])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3(5)6-2-4(6)7/h2,5,7H,1H3/b5-3+",97.69328,85.63183000000001,
9678,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1](=[C:2]1[N:3]([H:9])[C:4]([H:11])=[C:5]([O:6][H:12])[N:7]1[H:13])([H:8])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,5-7H,1H2",70.99574,27.65868,
9679,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1](=[C:2]1[N:3]=[C:4]([H:11])[C@@:5]([O:6][H:12])([H:9])[N:7]1[H:13])([H:8])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,4,6-7H,1H2/t4-/m0/s1",87.34773,19.61829,
9680,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C-:2]=[N+:3]=[C:4](/[C:5]([O:6][H:12])=[N:7]/[H:13])[H:11])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-2-6-3-4(5)7/h3H,1H3,(H2,5,7)",53.55648000000001,49.4622,
9681,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C:2](=[N+:3]=[C-:4][H:11])[N:7]([C:5][O:6][H:12])[H:13])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-4(5-2)6-3-7/h2,6-7H,1H3",87.83471999999999,87.02481999999999,
9682,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C@:4]([N+:3]#[C-:2])(/[C:5]([O:6][H:12])=[N:7]/[H:13])[H:11])([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3(6-2)4(5)7/h3H,1H3,(H2,5,7)/t3-/m0/s1",109.92451000000001,29.04085,
9683,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C:2]#[N:3])([H:8])([H:9])[H:10].[C:4]1([H:11])=[C:5]([O:6][H:12])[N:7]1[H:13],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C2H3NO.C2H3N/c4-2-1-3-2;1-2-3/h1,3-4H;1H3",97.31577,91.31426,
9684,[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C:2]1=[N:7][C@@:5]([O:6][H:12])([H:13])[C:4]([H:11])=[N:3]1)([H:8])([H:9])[H:10],"InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,7H,1H3,(H,5,6)","InChI=1S/C4H6N2O/c1-3-5-2-4(7)6-3/h2,4,7H,1H3/t4-/m1/s1",49.37121,14.45006,
